row_seq|street_1|street_2|state|city|zip
622| 39TH ST NW |GARRISON ST NW|DC|WASHINGTON|20016
2878| WISCONSIN AVE NW |ALBEMARLE ST NW|DC|WASHINGTON|20016
793| BRANDYWINE ST NW |WISCONSIN AVE NW|DC|WASHINGTON|20016
553| 39TH ST NW |MACOMB ST NW|DC|WASHINGTON|20016
2949| MICHIGAN AVE NE |TAYLOR ST NE|DC|WASHINGTON|20017
627| 13TH ST NE |PERRY ST NE|DC|WASHINGTON|20017
631| 7TH ST NE |TAYLOR ST NE|DC|WASHINGTON|20017
2884| 10TH ST NE |RHODE ISLAND AVE NE|DC|WASHINGTON|20018
2104| MONTANA AVE NE |DOWNING ST NE|DC|WASHINGTON|20018
2145| 18TH ST NE |NEWTON ST NE|DC|WASHINGTON|20018
1733| 50TH ST NE |BROOKS ST NE|DC|WASHINGTON|20019
1587| 36TH ST NE |BENNING RD NE|DC|WASHINGTON|20019
1107| 51ST ST NE |CLOUD PL NE|DC|WASHINGTON|20019
2320| 37TH PL SE |ELY PL SE|DC|WASHINGTON|20019
1053| DIVISION AVE NE |FOOTE ST NE|DC|WASHINGTON|20019
2147| 60TH ST NE |CLAY ST NE|DC|WASHINGTON|20019
2851| SOUTHERN AVE SE |51ST ST SE|DC|WASHINGTON|20019
652| PENNSYLVANIA AVE SE |TEXAS AVE SE|DC|WASHINGTON|20020
3450| MINNESOTA AVE SE |NICHOLSON ST SE|DC|WASHINGTON|20020
387| NAYLOR RD SE |GOOD HOPE RD SE|DC|WASHINGTON|20020
189| ROBINSON PL SE |JASPER RD SE|DC|WASHINGTON|20020
356| 9TH ST SE |SOUTHERN AVE SE|DC|WASHINGTON|20032
20| 4TH ST SE |MISSISSIPPI AVE SE|DC|WASHINGTON|20032
1137| I295 SB |CHESAPEAKE ST SW|DC|WASHINGTON|20032
1411| ELMIRA ST SW |MARTIN LUTHER KING J|DC|WASHINGTON|20032
1230| 16TH ST NW |K ST NW|DC|WASHINGTON|20036
1931| 17TH ST NW |P ST NW|DC|WASHINGTON|20036
3623| 21ST ST NW |O ST NW|DC|WASHINGTON|20036
1243| 23RD ST NW |M ST NW|DC|WASHINGTON|20037
3786| H ST NW |23RD ST NW|DC|WASHINGTON|20037
3187| 14TH ST SW |INDEPENDENCE AVE SW|DC|WASHINGTON|20250
16468| CRAIN HWY |SUBSTATION RD|MD|Waldorf|20602
16366| crain |Marshall CT|MD|Waldorf|20602
16387| Crain HWY |Mattawoman-Beantown RD|MD|Waldorf|20602
16113| Western PKY |Berry RD|MD|Waldorf|20602
16092| Lyles PL |Middletown RD|MD|Waldorf|20602
16488| CRAIN HWY |BILLINGSLEY RD|MD|Waldorf|20602
16139| Lyles PL |Middletown RD|MD|Waldorf|20602
16336| Leonardtown RD |St. Charles PKY|MD|Waldorf|20602
16433| WHITE OAK VILLAGE |SUBSTATION RD|MD|Waldorf|20602
16430| LISA DR |PINEWOOD DR|MD|Waldorf|20602
17878| St. Patricks DR |St. Phillips DR|MD|Waldorf|20603
17880| Hampshire CIR |Harbor Seal CT|MD|Waldorf|20603
17980| Turkey Hill RD |DOWER HILL FARM PL|MD|Waldorf|20603
17822| Middletown RD |Rocky Road PL|MD|Waldorf|20603
32403| ACCOLAWN RD |ACCOKEEK|MD|Accokeek|20607
17263| Fairgrounds Road RD |Bolick Place PL|MD|Bel Alton|20611
17243| Bel Alton-Newtown Road RD |Oriole Lane LANE|MD|Bel Alton|20611
17252| Crain Highway HWY |Fairgrounds Road RD|MD|Bel Alton|20611
34176| NB CRAIN HWY SE|EB MATAPEAKE B|MD|Brandywine|20613
34151| CRAIN HY SW|CEDARVILLE|MD|Brandywine|20613
34180| WINDBROOK DR |FLORAL|MD|Brandywine|20613
34166| MISSOURI AVE |BRANDYWINE|MD|Brandywine|20613
33863| BEVARD RD |CEDARVILLE|MD|Baden|20613
17646| Bucknell Road |Blackfoot Street|MD|Bryans Road|20616
37286| WOODHAVEN DR |PLACID HILL PL|MD|CALIFORNIA|20619
15841|N Three Notch RD |Mt. Wolf RD|MD|Charlotte Hall|20622
16721| GRIDIRON RD |NEALE SOUND DR|MD|Cobb Island|20625
12363| DANIELLES |DANIELLES WAY / DOWELL RD|MD|DOWELL|20629
17239| Faulkner Road RD |Bowling Road RD|MD|Faulkner|20632
36820| Flat Iron RD |Green Rest DR|MD|Great Mills|20634
